feature,feature_clean,judge_signed_shap,judge_abs_shap,fan_signed_shap,fan_abs_shap,judge_impact_norm,fan_impact_norm,discrepancy
partner_clean_Derek Hough,Partner: Derek Hough,-0.0009681336997168,0.0032123123642677,-0.0009944061635405,0.0045318342129306,-0.5870074413967368,-4.793150349105302,4.206142907708565
Early Performance (W1-2),Early Performance (W1-2),0.0125808742486762,0.9179748322167796,0.0011221542143104,0.036489094603402,7.071203298920078,5.456542788468146,1.614660510451932
homestate_clean_Alabama,State: Alabama,-0.0005435481628302,0.0016086966452407,-0.0002767576262356,0.0015569859604696,-0.3470219360997384,-1.3178527081882883,0.9708307720885498
homestate_clean_Other_State,State: Other_State,0.0008744827904692,0.0053332685674573,-4.6198257873023154e-05,0.0012540797383529,0.4544817546518175,-0.20134178771614664,0.6558235423679641
homestate_clean_Louisiana,State: Louisiana,-3.1465183147495905e-05,9.70398455672704e-05,-0.0001503557851211,0.0008372385352109,-0.057580864851075234,-0.7057368918828552,0.6481560270317799
partner_clean_Karina Smirnoff,Partner: Karina Smirnoff,0.000752170529332,0.0027768222834032,-2.01290652086672e-05,9.695994668650468e-05,0.38534805309365755,-0.0750986491078172,0.46044670220147477
partner_clean_Sharna Burgess,Partner: Sharna Burgess,2.2085735886068244e-05,0.0001478140676464,-9.184472215577836e-05,0.0005985201799559,-0.02731265445082094,-0.4223901719765109,0.39507751752569
partner_clean_Maksim Chmerkoskiy,Partner: Maksim Chmerkoskiy,0.0005280454317548,0.0021303019924075,-2.3529634505848603e-05,0.0001802066918994,0.25866739603168837,-0.09156630680088705,0.35023370283257543
industry_clean_Model,Industry: Model,0.0009942060191691,0.0036904265567399,5.921117560009203e-05,0.0001741751022805,0.522152075562931,0.30911581992456616,0.2130362556383648
partner_clean_Peta Murgatroyd,Partner: Peta Murgatroyd,0.000232590004691,0.0005250873616124,-1.9216215149964695e-05,0.000111935651057,0.09166919709024852,-0.07067806508846744,0.16234726217871598
homestate_clean_Florida,State: Florida,0.0002991615667993,0.0017574646541226,-8.118882921152647e-07,0.0001868088827883,0.1292969742588285,0.01844705728961317,0.11084991696921533
homestate_clean_Ohio,State: Ohio,0.0005440361779287,0.002856314774332,3.399787695895453e-05,0.0001394508320906,0.2677057333447288,0.18701744901957051,0.08068828432515829
partner_clean_Kym Johnson,Partner: Kym Johnson,2.0268987237469627e-05,0.0003110437788073,-2.687252687708156e-05,0.0001675341251808,-0.028339522548186263,-0.10775465718088588,0.07941513463269961
industry_clean_Athlete,Industry: Athlete,0.0002527612726197,0.0075290128114434,4.4447946750790795e-06,0.0006264847396405,0.10307046139578022,0.04390316423514658,0.05916729716063364
homecountry_clean_England,Country: England,9.159781271497312e-05,0.0002655679367789,-1.3459262425180705e-05,5.59399430439305e-05,0.011977169230770865,-0.04279934286818881,0.05477651209895967
homecountry_clean_Canada,Country: Canada,-2.6445295386231725e-05,5.509160649871901e-05,-1.962569405733722e-05,0.0001338509723725,-0.05474350889741975,-0.07266101496828084,0.017917506070861088
homestate_clean_New Jersey,State: New Jersey,6.33007036548456e-05,0.000194644486711,-7.493170675057716e-06,0.0001076651307543,-0.004017007269058215,-0.013907840263637603,0.009890832994579386
homecountry_clean_Italy,Country: Italy,5.6660515445311904e-05,0.0001252500258355,-5.014334050148242e-07,6.179563326792164e-07,-0.007770194281544059,0.019950471677947567,-0.027720665959491627
partner_clean_Tony Dovolani,Partner: Tony Dovolani,0.0001464456697922,0.0006179862632028,1.3111826147220775e-05,5.6646677307932585e-05,0.042978438825715615,0.08587428584016497,-0.04289584701444936
homestate_clean_Kentucky,State: Kentucky,-4.327663885689296e-05,0.0001906813745266,-8.873813821742673e-06,2.2792201805490455e-05,-0.06425697112520355,-0.020593767456691902,-0.043663203668511646
homestate_clean_Illinois,State: Illinois,-0.0004671175536862,0.002582434784144,-5.678729917956969e-05,0.0006869832664782,-0.3038215989189664,-0.25262046851777575,-0.05120113040119062
homecountry_clean_Australia,Country: Australia,0.0,0.0,-9.663704452936168e-07,2.0714605227509105e-06,-0.039796020053285516,0.017698959251929283,-0.0574949793052148
homecountry_clean_Czechoslovakia,Country: Czechoslovakia,0.0,0.0,-8.608898995093792e-07,1.0754074970458326e-06,-0.039796020053285516,0.018209761229319586,-0.0580057812826051
homestate_clean_New York,State: New York,0.0001390716880776,0.0022827940517062,1.5963092411686027e-05,0.0005704534508287,0.03881049485662616,0.0996818788434688,-0.060871383986842637
homecountry_clean_Brazil,Country: Brazil,0.0,0.0,0.0,0.0,-0.039796020053285516,0.02237872205252421,-0.06217474210580973
homecountry_clean_Ireland,Country: Ireland,0.0,0.0,0.0,0.0,-0.039796020053285516,0.02237872205252421,-0.06217474210580973
homecountry_clean_Taiwan China,Country: Taiwan China,0.0,0.0,0.0,0.0,-0.039796020053285516,0.02237872205252421,-0.06217474210580973
homecountry_clean_Russia,Country: Russia,0.0,0.0,0.0,0.0,-0.039796020053285516,0.02237872205252421,-0.06217474210580973
homecountry_clean_Croatia,Country: Croatia,0.0,0.0,0.0,0.0,-0.039796020053285516,0.02237872205252421,-0.06217474210580973
missing_fan_share,missing_fan_share,0.0,0.0,0.0,0.0,-0.039796020053285516,0.02237872205252421,-0.06217474210580973
homecountry_clean_Argentina,Country: Argentina,0.0,0.0,0.0,0.0,-0.039796020053285516,0.02237872205252421,-0.06217474210580973
homestate_clean_Iowa,State: Iowa,-1.8943436983923037e-05,3.646949318281143e-05,-1.370048544961735e-06,1.5897781926105088e-06,-0.050503286084965765,0.01574410046724477,-0.06624738655221053
homecountry_clean_Chile,Country: Chile,0.0,0.0,1.6954841162166042e-06,2.1402802619734335e-06,-0.039796020053285516,0.030589303755133357,-0.07038532380841887
homecountry_clean_Other_Country,Country: Other_Country,-2.6190702777624284e-05,0.000136669209208,-1.0110626404436095e-06,6.84822092812395e-05,-0.054599607302773925,0.017482532028437036,-0.07208213933121096
homecountry_clean_France,Country: France,-3.331170475730595e-05,4.736433396569236e-05,0.0,0.0,-0.058624561310501366,0.02237872205252421,-0.08100328336302558
homestate_clean_Georgia,State: Georgia,-0.0006460190469666,0.0019819179321552,-6.945016657346767e-05,0.0007893823419655,-0.40494083528794167,-0.3139418966175612,-0.09099893867038045
homestate_clean_Pennsylvania,State: Pennsylvania,-0.0004240446190988,0.0016587872740058,-4.151028283051188e-05,0.0006525927878165,-0.27947578618266833,-0.17863971593724826,-0.10083607024542007
partner_clean_Mark Ballas,Partner: Mark Ballas,3.125106969412563e-05,0.0008195915755829,1.2606506567894104e-05,5.583574582980729e-05,-0.022132197101116684,0.08342721620836688,-0.10555941330948357
homecountry_clean_Mexico,Country: Mexico,-0.0001086278719405,0.0001685572122926,0.0,0.0,-0.10119499027760845,0.02237872205252421,-0.12357371233013266
industry_clean_Singer/Rapper,Industry: Singer/Rapper,-0.0001769870394589,0.0080407546131822,-4.614002844870362e-06,0.0002529332137759,-0.13983316311524552,3.486936081347831e-05,-0.139868032476059
partner_clean_Gleb Savchenko,Partner: Gleb Savchenko,-2.1135777849932743e-05,0.000171080945406,1.5644949581438954e-05,5.78603229796156e-05,-0.05174244753726253,0.09814123468416415,-0.14988368222142667
homestate_clean_California,State: California,-7.808742203019203e-05,0.0033232546601449,1.5074268914402295e-05,0.0005167918120644,-0.08393282596210457,0.09537764628012783,-0.1793104722422324
industry_clean_Actor/Actress,Industry: Actor/Actress,-0.000307678250877,0.0202925490870147,3.649467035398233e-06,0.0005386653483844,-0.21370283997714576,0.04005169638387911,-0.25375453636102485
partner_clean_Emma Slater,Partner: Emma Slater,-0.0003801774261592,0.0014508684152302,-1.094624492084155e-07,2.0656860001714967e-05,-0.2546810403682753,0.021848637238401077,-0.2765296776066764
homestate_clean_Unknown,State: Unknown,8.1087919305579e-05,0.0017678829404603,5.633929959315204e-05,0.0001402597646243,0.0060367358873131835,0.2952084218137771,-0.2891716859264639
industry_clean_TV Personality,Industry: TV Personality,-0.0003204382374586,0.0147651612066565,9.68767665325294e-06,0.0003394493248085,-0.2209150777039011,0.06929243826443754,-0.2902075159683386
homecountry_clean_United States,Country: United States,-3.6161409060694336e-05,0.0021841719255824,4.676903763547314e-05,0.0001379482798129,-0.060235279688264545,0.24886330010645213,-0.30909857979471667
homestate_clean_Texas,State: Texas,-0.0005773691776682,0.0039937816594608,-1.3913886636829955e-05,0.000368080676464,-0.3661383511219546,-0.04500091420585481,-0.32113743691609975
homestate_clean_Michigan,State: Michigan,-0.0005612682935827,0.0011979613338862,1.3667364337309557e-06,5.7926816123879795e-06,-0.35703776132956333,0.028997304348724887,-0.3860350656782882
partner_clean_Witney Carson,Partner: Witney Carson,-0.0005241141752817,0.0017560363015135,1.2064956869948231e-05,6.247675291658867e-05,-0.3360373996127878,0.0808046979562172,-0.416842097569005
industry_clean_Comedian,Industry: Comedian,-0.0007567130130715,0.0025048630974882,-8.960798509105723e-06,4.510219016080426e-05,-0.467507609426808,-0.02101500105931858,-0.44649260836748944
age,age,0.0011773625642328,0.16513854492863,0.00021797748242,0.0063559347030219,0.62567636500971,1.077960376649291,-0.4522840116395809
partner_clean_Valentin Chmerkovskiy,Partner: Valentin Chmerkovskiy,-0.0007012112952313,0.003331711911285,2.1831703204682697e-05,0.0002858276593898,-0.43613676269848606,0.12810131842172626,-0.5642380811202123
partner_clean_Artem Chigvintsev,Partner: Artem Chigvintsev,-0.0013076541499625,0.0047691822744601,-3.924033203748896e-05,0.0002729639340018,-0.7789122043529951,-0.16764721163198462,-0.6112649927210105
industry_clean_Other,Industry: Other,-0.0009079413085885,0.0060213307898628,1.026038894392449e-05,0.0001724570529421,-0.5529853183025679,0.072065865045421,-0.6250511833479889
partner_clean_Cheryl Burke,Partner: Cheryl Burke,-0.0010987975455768,0.006429800829065,-1.0948066717600233e-05,0.0001461573930983,-0.6608616506161531,-0.030638581625352844,-0.6302230689908003
partner_clean_Sasha Farber,Partner: Sasha Farber,-0.0012182421805375,0.00379733547413,8.540071940489883e-08,1.119917364835898e-05,-0.7283745039419013,0.022792285103589643,-0.751166789045491
partner_clean_Other_Partner,Partner: Other_Partner,-0.0024927166117069,0.0460914652581242,7.851794771219357e-06,0.0005900301355396,-1.448736748485295,0.060401963830260724,-1.5091387123155557
